BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,JobsRetained,DateApproved,Lender
"220 LABORATORIES, INC.",2375 Third Street,RIVERSIDE,CA,92507,325620,Subchapter S Corporation,500,4/27/2020,Riverview Bank
A-C ELECTRIC COMPANY,2921 HANGER WAY,BAKERSFIELD,CA,93308,238210,Corporation,341,4/9/2020,Mission Bank
A.O. REED & CO,4777 RUFFNER ST,SAN DIEGO,CA,92111,238220,Corporation,477,4/14/2020,Umpqua Bank
"AARON THOMAS COMPANY, INC",7421 CHAPMAN AVANUE,GARDEN GROVE,CA,92841,561910,Subchapter S Corporation,500,4/28/2020,"U.S. Bank, National Association"
"ACCURATE BACKGROUND, LLC",7515 Irvine Center Drive,IRVINE,CA,92618,561611,Limited  Liability Company(LLC),500,4/11/2020,"Zions Bank, A Division of"
"ADVANCED CHEMICAL TRANSPORT, INC., A CALIFORNIA CORPORATION",967 MABURY RD,SAN JOSE,CA,95133,562910,Subchapter S Corporation,407,4/10/2020,Comerica Bank
ADVANCED FRESH CONCEPTS FRANCHISE CORP.,19205 South Laurel Park Road,RANCHO DOMINGUEZ,CA,90220,722513,Sole Proprietorship,420,4/27/2020,"MUFG Union Bank, National Association"
ADVANCED SYSTEMS GROUP,1226 Powell St.,EMERYVILLE,CA,94608,423410,Limited  Liability Company(LLC),300,4/30/2020,Cache Valley Bank
ADVANTAGE MAILING INC.,1600 N KRAEMER BLVD,ANAHEIM,CA,92806,323111,Limited  Liability Company(LLC),372,4/27/2020,Cathay Bank
"AGREEYA SOLUTIONS, INC.","605 Coolidge Dr., STE 200",FOLSOM,CA,95630,541511,Subchapter S Corporation,397,4/16/2020,Bank of the West
AIR SYSTEMS OF SACRAMENTO INC,10381 OLD PLACERVILLE RD,SACRAMENTO,CA,95827,238220,Corporation,203,4/9/2020,Merchants Bank of Commerce
"AIRPORT TERMINAL MANAGEMENT, INC.",216 W. FLORENCE AVE,INGLEWOOD,CA,90301,488190,Corporation,450,4/15/2020,Commercial Bank of California
"AKASH MANAGEMENT, LLC",716 CORPORATE CENTER DR,POMONA,CA,91768,722513,Limited  Liability Company(LLC),500,4/5/2020,City National Bank
