county,zip,fips,city,classfp
Alameda,94501,6001,Alameda,H1
Alameda,94560,6001,Newark,H1
Alameda,94577,6001,San leandro,H1
Alameda,94578,6001,San leandro,H1
Alameda,94550,6001,Livermore,H1
Alameda,94611,6001,Oakland,H1
Alameda,94705,6001,Berkeley,H1
Alameda,94505,6001,Discovery bay,H1
Alameda,94568,6001,Dublin,H1
Alameda,94551,6001,Livermore,H1
Alameda,94586,6001,Sunol,H1
Alameda,94702,6001,Berkeley,H1
Alameda,94709,6001,Berkeley,H1
Alameda,94662,6001,Emeryville,H1
Alameda,94514,6001,Byron,H1
Alameda,94544,6001,Hayward,H1
Alameda,94566,6001,Pleasanton,H1
Alameda,94608,6001,Emeryville,H1
Alameda,94609,6001,Oakland,H1
Alameda,94707,6001,Berkeley,H1
Alameda,94604,6001,Oakland,H1
Alameda,95035,6001,Milpitas,H1
Alameda,94543,6001,Hayward,H1
Alameda,94614,6001,Oakland,H1
Alameda,94712,6001,Berkeley,H1
Alameda,94540,6001,Hayward,H1
Alameda,94541,6001,Hayward,H1
Alameda,94555,6001,Fremont,H1
Alameda,94579,6001,San leandro,H1
Alameda,94612,6001,Oakland,H1
Alameda,94601,6001,Oakland,H1
Alameda,94623,6001,Oakland,H1
Alameda,94536,6001,Fremont,H1
Alameda,94552,6001,Castro valley,H1
Alameda,94621,6001,Oakland,H1
Alameda,94703,6001,Berkeley,H1
Alameda,95377,6001,Tracy,H1
Alameda,94708,6001,Berkeley,H1
Alameda,94620,6001,Piedmont,H1
Alameda,94615,6001,Oakland,H1
Alameda,94546,6001,Castro valley,H1
Alameda,94588,6001,Pleasanton,H1
Alameda,94603,6001,Oakland,H1
Alameda,94605,6001,Oakland,H1
Alameda,94606,6001,Oakland,H1
Alameda,94704,6001,Berkeley,H1
Alameda,94619,6001,Oakland,H1
Alameda,94706,6001,Albany,H1
Alameda,94557,6001,Hayward,H1
Alameda,94539,6001,Fremont,H1
Alameda,94542,6001,Hayward,H1
Alameda,94587,6001,Union city,H1
Alameda,94545,6001,Hayward,H1
