zip,businessname,address,city,state,naicscode,businesstype,jobsretained,dateapproved,lender
92507,"220 LABORATORIES, INC.",2375 Third Street,RIVERSIDE,CA,325620.0,Subchapter S Corporation,500.0,4/27/2020,Riverview Bank
93308,A-C ELECTRIC COMPANY,2921 HANGER WAY,BAKERSFIELD,CA,238210.0,Corporation,341.0,4/9/2020,Mission Bank
92111,A.O. REED & CO,4777 RUFFNER ST,SAN DIEGO,CA,238220.0,Corporation,477.0,4/14/2020,Umpqua Bank
92841,"AARON THOMAS COMPANY, INC",7421 CHAPMAN AVANUE,GARDEN GROVE,CA,561910.0,Subchapter S Corporation,500.0,4/28/2020,"U.S. Bank, National Association"
92618,"ACCURATE BACKGROUND, LLC",7515 Irvine Center Drive,IRVINE,CA,561611.0,Limited  Liability Company(LLC),500.0,4/11/2020,"Zions Bank, A Division of"
95133,"ADVANCED CHEMICAL TRANSPORT, INC., A CALIFORNIA CORPORATION",967 MABURY RD,SAN JOSE,CA,562910.0,Subchapter S Corporation,407.0,4/10/2020,Comerica Bank
90220,ADVANCED FRESH CONCEPTS FRANCHISE CORP.,19205 South Laurel Park Road,RANCHO DOMINGUEZ,CA,722513.0,Sole Proprietorship,420.0,4/27/2020,"MUFG Union Bank, National Association"
94608,ADVANCED SYSTEMS GROUP,1226 Powell St.,EMERYVILLE,CA,423410.0,Limited  Liability Company(LLC),300.0,4/30/2020,Cache Valley Bank
92806,ADVANTAGE MAILING INC.,1600 N KRAEMER BLVD,ANAHEIM,CA,323111.0,Limited  Liability Company(LLC),372.0,4/27/2020,Cathay Bank
95630,"AGREEYA SOLUTIONS, INC.","605 Coolidge Dr., STE 200",FOLSOM,CA,541511.0,Subchapter S Corporation,397.0,4/16/2020,Bank of the West
95827,AIR SYSTEMS OF SACRAMENTO INC,10381 OLD PLACERVILLE RD,SACRAMENTO,CA,238220.0,Corporation,203.0,4/9/2020,Merchants Bank of Commerce
90301,"AIRPORT TERMINAL MANAGEMENT, INC.",216 W. FLORENCE AVE,INGLEWOOD,CA,488190.0,Corporation,450.0,4/15/2020,Commercial Bank of California
91768,"AKASH MANAGEMENT, LLC",716 CORPORATE CENTER DR,POMONA,CA,722513.0,Limited  Liability Company(LLC),500.0,4/5/2020,City National Bank
91745,ALATUS AEROSYSTEMS,17055 GALE AVE,CITY OF INDUSTRY,CA,336413.0,Corporation,333.0,4/12/2020,"INTRUST Bank, National Association"
95341,ALIA CORP,140 Heron Way 0.0,MERCED,CA,722513.0,Corporation,500.0,4/11/2020,"JPMorgan Chase Bank, National Association"
94597,"ALL ENVIRONMENTAL, INC.",2500 CAMINO DIABLO,WALNUT CREEK,CA,541620.0,Corporation,277.0,5/3/2020,"Bank of America, National Association"
90017,ALLEN MATKINS LECK GAMBLE MALLORY & NATSIS LLP,865 S. FIGUEROA ST SUITE 2800,LOS ANGELES,CA,541110.0,Limited Liability Partnership,267.0,4/14/2020,City National Bank
95826,"ALSTON CONSTRUCTION CO., INC.",8775 FOLSOM BLVD Ste. 201,SACRAMENTO,CA,236210.0,Corporation,374.0,4/9/2020,Bank of the West
92704,"ALUMINUM PRECISION PRODUCTS, INC.",3333 W Warner Avenue,SANTA ANA,CA,332112.0,Corporation,100.0,4/30/2020,"JPMorgan Chase Bank, National Association"
90248,"AMERICAN GUARD SERVICES, INC.",1125 west 190th Street,GARDENDA,CA,561612.0,Corporation,500.0,4/14/2020,"Harvest Small Business Finance, LLC"
95518,AMERICAN HOSPITAL MANAGEMENT CORP,3800 JANES RD PO BOX 1115,ARCATA,CA,622110.0,Corporation,472.0,4/14/2020,Redwood Capital Bank
93291,AMERICAN INCORPORATED,1345 AMERICAN ST,VISALIA,CA,238220.0,Subchapter S Corporation,476.0,4/13/2020,Comerica Bank
90744,AMERICAN INTEGRATED SERVICES INC.,1502 E Opp St.,WILMINGTON,CA,562910.0,Sole Proprietorship,322.0,4/4/2020,American Business Bank
94608,"AMYRIS, INC.",5885 Hollis St. Ste 100,EMERYVILLE,CA,325199.0,Corporation,440.0,5/1/2020,Bank of the West
94541,ANDREW CHEKENE ENTERPRISES INC,21965 Meekland Ave,HAYWARD,CA,236115.0,Subchapter S Corporation,272.0,4/30/2020,Bank of the West
92123,"ANESTHESIA SERVICE MEDICAL GROUP, INC",3626 Ruffin Rd,SAN DIEGO,CA,621111.0,Corporation,262.0,4/9/2020,First-Citizens Bank & Trust Company
93535,ANTELOPE VALLEY LEARNING ACADEMY INC,177 HOLSTON DR,LANCASTER,CA,611110.0,Non-Profit Organization,478.0,4/13/2020,Hanmi Bank
92845,"APEX INNOVATIVE SCIENCES, INC.","12772 VALLEY VIEW ST, Siute 3",GARDEN GROVE,CA,621399.0,Corporation,396.0,4/11/2020,Fifth Third Bank
91765,APR CONSULTING INC,1370 VALLEY VISTA DRIVE SUITE 280,DIAMOND BAR,CA,561311.0,Corporation,0.0,5/5/2020,"Wells Fargo Bank, National Association"
95709,ARBORWORKS INC,6090 KEEBLE LANE,CAMINO,CA,561730.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
92801,ARCH LEGACY VENTURES INC.,1940  W. CORPORATE WAY,ANAHEIM,CA,517312.0,Corporation,500.0,4/10/2020,"Zions Bank, A Division of"
92866,ARCHITECTS ORANGE,144 N. ORANGE ST,ORANGE,CA,541310.0,Corporation,289.0,4/14/2020,HomeStreet Bank
91324,ARETE ASSOCIATES,"9301 Corbin Avenue, Suite 2000",NORTHRIDGE,CA,541715.0,Corporation,296.0,4/14/2020,"JPMorgan Chase Bank, National Association"
92037,"ASC STAFFING GROUP, LLC",888 PROSPECT ST,LA JOLLA,CA,561311.0,Limited  Liability Company(LLC),500.0,4/13/2020,Commercial Bank of California
94607,ASIAN HEALTH SERVICES,101 8TH ST Suite 100,OAKLAND,CA,621498.0,Non-Profit Organization,0.0,4/4/2020,East West Bank
92109,"ASSOCIATED MICROBREWERIES, LTD","5965 SANTA FE ST, STE E",SAN DIEGO,CA,722511.0,Partnership,0.0,4/4/2020,First Choice Bank
90703,"ATKINSON, ANDELSON, LOYA, RUUD AND ROMO",12800 Center Court Drive Suite 300,CERRITOS,CA,541110.0,Corporation,327.0,4/11/2020,Friendly Hills Bank
94102,ATLAS MORTGAGE LENDING LLC,180 Redwood Street,SAN FRANCISCO,CA,522292.0,Limited  Liability Company(LLC),,4/7/2020,Customers Bank
90058,"ATV, INC.",4490 Ayers Avenue,VERNON,CA,441320.0,Subchapter S Corporation,426.0,4/4/2020,Partners Bank of California
92123,AVID CENTER,9797 Aero Drive STE 100,SAN DIEGO,CA,611430.0,Non-Profit Organization,448.0,4/11/2020,"Zions Bank, A Division of"
92626,AYRES GROUP,"355 Bristol Street, Suite A",COSTA MESA,CA,721110.0,Corporation,500.0,4/8/2020,City National Bank
94710,BACKROADS,801 CEDAR STREET,BERKELEY,CA,561520.0,Corporation,,5/3/2020,"Wells Fargo Bank, National Association"
90026,BARLOW RESPIRATORY HOSPITAL,2000 Stadium Way,LOS ANGELES,CA,622110.0,Non-Profit Organization,450.0,4/14/2020,KeyBank National Association
92106,BARTELL HOTELS,4875 N Harbor Drive,SAN DIEGO,CA,721110.0,Partnership,500.0,4/15/2020,"MUFG Union Bank, National Association"
94903,"BAY AREA COMMUNITY RESOURCES, INC.",171 CARLOS DR,SAN RAFAEL,CA,624190.0,Non-Profit Organization,500.0,4/14/2020,City National Bank
94538,BAY AREA TRAFFIC SOLUTIONS INC,44800 Industrial Drive,FREMONT,CA,561990.0,Corporation,312.0,4/27/2020,Emigrant Bank
94520,BAY CITIES PAVING & GRADING INC,1450 CIVIC CT BUILDING B STE 400,CONCORD,CA,237310.0,Corporation,246.0,4/5/2020,California Bank of Commerce
94804,"BAY CITY MECHANICAL, INC",870 Harbour Way South,RICHMOND,CA,238220.0,Subchapter S Corporation,270.0,4/30/2020,Bank of the West
